age,income_usd,savings_usd,time_horizon,risk_tolerance,goal,stocks,etfs,bonds,crypto,cash,risk_score,risk_label,expected_return_pct
49,64000,36000,10,high,wealth_building,52.9,22.2,10.3,9.6,5.0,80.5,High,11.4
53,67000,68500,3,medium,wealth_preservation,31.6,25.4,29.6,1.2,12.2,53.0,Medium,8.0
54,64000,41000,5,high,retirement,51.7,22.4,11.6,9.3,5.0,92.8,High,11.9
45,65000,16500,7,medium,children_education,43.8,25.2,19.3,4.7,7.0,65.5,Medium,7.5
31,37000,4000,30,high,wealth_building,57.4,21.9,5.8,9.9,5.0,87.2,High,9.9
49,68000,53500,15,low,retirement,22.5,20.2,37.6,1.5,18.2,20.0,Low,5.5
26,22000,2500,20,medium,wealth_building,48.8,24.8,14.5,5.0,6.9,53.4,Medium,9.8
25,34000,7000,15,medium,wealth_building,49.1,24.8,14.3,5.0,6.8,62.6,Medium,9.0
24,31000,6000,20,medium,wealth_building,49.3,24.8,14.0,5.0,6.9,57.5,Medium,9.8
37,46000,19000,7,low,wealth_building,25.9,20.0,34.2,2.0,17.9,31.0,Low,5.8
35,39000,25000,10,medium,house,46.4,24.9,16.7,5.0,7.0,64.7,Medium,8.7
25,25000,9500,30,high,house,59.0,21.8,4.4,9.9,4.9,92.9,High,12.1
28,31000,10000,20,medium,house,48.3,24.8,15.0,5.0,6.9,63.2,Medium,6.7
49,57000,22000,15,medium,children_education,42.8,25.3,20.4,4.5,7.0,50.1,Medium,6.5
32,35000,5500,25,medium,wealth_building,47.2,24.9,16.0,5.0,6.9,58.4,Medium,7.6
51,60000,56500,3,high,retirement,42.3,22.3,18.9,6.4,10.1,81.5,High,13.1
39,63000,37000,5,medium,children_education,45.3,25.0,17.7,5.0,7.0,57.3,Medium,8.8
66,71000,24000,7,low,retirement,17.8,20.6,42.6,0.5,18.5,14.6,Low,5.1
64,55000,38500,3,medium,retirement,28.6,25.7,32.7,0.6,12.4,34.0,Medium,6.7
50,73000,64000,3,low,retirement,12.1,20.2,46.0,-1.6,23.3,11.9,Low,6.6
31,49000,12500,15,low,wealth_building,27.6,19.9,32.7,2.0,17.8,26.0,Low,4.9
44,69000,20000,15,medium,retirement,44.0,25.1,19.1,4.8,7.0,48.3,Medium,6.7
27,22000,10500,10,medium,house,48.5,24.8,14.8,5.0,6.9,70.2,High,6.6
28,35000,10000,25,low,retirement,28.4,19.9,31.9,2.0,17.8,14.6,Low,5.4
65,93000,51500,7,low,retirement,18.0,20.6,42.3,0.5,18.6,11.4,Low,6.9
28,35000,7500,10,medium,wealth_building,48.3,24.8,15.0,5.0,6.9,70.4,High,8.3
35,54000,37000,15,medium,wealth_building,46.4,24.9,16.7,5.0,7.0,47.9,Medium,9.2
50,45000,19000,2,low,retirement,12.1,20.2,46.0,-1.6,23.3,24.4,Low,5.5
49,57000,54000,20,low,wealth_building,22.5,20.2,37.6,1.5,18.2,15.2,Low,5.6
65,76000,35000,3,medium,passive_income,28.4,25.8,33.0,0.5,12.3,31.0,Low,9.2
42,57000,33500,10,low,retirement,24.5,20.0,35.6,1.9,18.0,25.9,Low,5.0
60,70000,76500,5,medium,retirement,40.0,25.6,23.4,3.9,7.1,39.7,Medium,6.5
44,48000,41000,10,medium,house,44.0,25.1,19.1,4.8,7.0,60.7,Medium,8.9
25,40000,11000,25,medium,retirement,49.1,24.8,14.3,5.0,6.8,57.7,Medium,7.1
38,53000,15000,20,medium,wealth_building,45.5,25.0,17.5,5.0,7.0,54.2,Medium,10.0
47,60000,21500,10,low,retirement,23.1,20.2,37.0,1.6,18.1,27.2,Low,5.9
67,84000,104000,10,high,retirement,48.5,22.7,15.0,8.7,5.1,73.3,High,14.9
49,62000,46500,7,low,children_education,22.5,20.2,37.6,1.5,18.2,20.3,Low,4.5
42,54000,8000,5,medium,wealth_building,44.5,25.1,18.5,4.9,7.0,68.1,High,7.3
44,51000,39000,15,medium,retirement,44.0,25.1,19.1,4.8,7.0,47.0,Medium,6.6
39,44000,14000,10,high,wealth_building,55.3,22.0,7.8,10.0,4.9,93.8,High,9.3
49,52000,40500,20,high,house,52.9,22.2,10.3,9.6,5.0,73.7,High,11.1
51,65000,31000,5,medium,retirement,42.3,25.3,20.9,4.4,7.1,53.2,Medium,9.7
27,24000,2500,10,medium,wealth_building,48.5,24.8,14.8,5.0,6.9,69.9,High,7.5
64,65000,54000,5,low,retirement,18.3,20.6,42.0,0.6,18.5,18.8,Low,5.1
57,79000,51000,5,medium,passive_income,40.7,25.5,22.5,4.1,7.2,46.3,Medium,7.2
34,41000,6500,15,high,house,56.6,21.9,6.5,10.0,5.0,85.2,High,11.5
52,59000,45500,7,low,retirement,21.7,20.3,38.4,1.3,18.3,28.3,Low,6.6
41,48000,8000,7,low,retirement,24.7,20.0,35.3,1.9,18.1,20.9,Low,5.2
40,46000,15500,7,medium,children_education,45.0,25.0,18.0,5.0,7.0,58.3,Medium,9.9
31,51000,27500,25,medium,house,47.4,24.9,15.8,5.0,6.9,57.3,Medium,9.0
52,59000,56500,7,high,wealth_preservation,52.2,22.3,11.0,9.4,5.1,84.8,High,11.4
42,49000,25500,15,medium,children_education,44.5,25.1,18.5,4.9,7.0,52.8,Medium,8.5
64,64000,62500,7,medium,retirement,38.9,25.7,24.5,3.7,7.2,49.2,Medium,8.3
35,54000,21000,20,low,children_education,26.4,19.9,33.7,2.0,18.0,22.8,Low,6.6
32,38000,11000,20,high,wealth_building,57.1,21.9,6.1,10.0,4.9,85.9,High,13.2
47,65000,35500,10,medium,children_education,43.3,25.2,19.8,4.6,7.1,60.9,Medium,9.1
36,46000,12000,15,high,house,56.1,21.9,7.0,10.0,5.0,84.8,High,14.8
24,47000,20000,20,high,house,59.2,21.8,4.1,9.9,5.0,90.1,High,11.4
28,28000,14000,30,low,retirement,28.4,19.9,31.9,2.0,17.8,21.2,Low,5.9
42,55000,19000,10,medium,house,44.5,25.1,18.5,4.9,7.0,59.3,Medium,7.7
48,56000,44000,7,medium,children_education,43.0,25.2,20.1,4.6,7.1,59.7,Medium,7.7
24,37000,12500,30,high,retirement,59.2,21.8,4.1,9.9,5.0,89.4,High,11.5
49,60000,23500,10,high,retirement,52.9,22.2,10.3,9.6,5.0,88.0,High,12.1
30,52000,23500,25,medium,house,47.7,24.9,15.5,5.0,6.9,51.8,Medium,7.4
30,26000,6500,30,high,house,57.7,21.9,5.6,9.9,4.9,83.4,High,9.5
25,33000,4000,25,low,house,29.2,19.8,31.1,2.0,17.9,26.5,Low,4.8
22,40000,12000,20,medium,house,49.9,24.7,13.5,4.9,7.0,64.6,Medium,9.5
63,74000,61000,5,low,retirement,18.6,20.6,41.7,0.6,18.5,12.2,Low,4.0
42,51000,41500,10,high,retirement,54.5,22.1,8.5,9.9,5.0,85.3,High,13.0
67,73000,77500,10,medium,retirement,38.1,25.8,25.3,3.5,7.3,44.5,Medium,8.0
47,60000,38000,10,medium,children_education,43.3,25.2,19.8,4.6,7.1,60.2,Medium,6.8
30,42000,4500,20,medium,retirement,47.7,24.9,15.5,5.0,6.9,56.5,Medium,7.4
25,47000,16000,30,high,education,59.0,21.8,4.4,9.9,4.9,88.6,High,14.0
52,52000,37000,5,low,retirement,21.7,20.3,38.4,1.3,18.3,25.3,Low,4.2
36,48000,21500,7,medium,wealth_building,46.1,24.9,17.0,5.0,7.0,66.2,High,8.8
51,78000,29500,5,medium,retirement,42.3,25.3,20.9,4.4,7.1,56.5,Medium,8.8
62,70000,16000,3,medium,retirement,29.2,25.7,32.1,0.7,12.3,27.4,Low,8.2
61,75000,46500,5,medium,retirement,39.7,25.6,23.6,3.8,7.3,45.2,Medium,7.1
25,38000,17000,30,medium,retirement,49.1,24.8,14.3,5.0,6.8,56.0,Medium,7.5
34,45000,19000,25,medium,wealth_building,46.6,24.9,16.5,5.0,7.0,46.8,Medium,9.3
34,35000,14000,35,high,retirement,56.6,21.9,6.5,10.0,5.0,77.9,High,11.4
41,42000,30500,15,high,wealth_building,54.8,22.0,8.2,10.0,5.0,82.2,High,13.5
38,40000,22000,7,low,retirement,25.6,20.0,34.5,2.0,17.9,29.7,Low,4.4
29,39000,7000,15,medium,retirement,48.0,24.8,15.3,5.0,6.9,66.4,High,9.6
31,35000,7500,25,low,retirement,27.6,19.9,32.7,2.0,17.8,18.5,Low,4.2
36,41000,28500,10,low,retirement,26.1,20.0,34.0,2.0,17.9,25.9,Low,5.3
41,61000,15500,10,medium,wealth_building,44.8,25.0,18.3,4.9,7.0,66.3,High,8.7
41,55000,12000,10,medium,children_education,44.8,25.0,18.3,4.9,7.0,58.4,Medium,7.2
36,46000,19500,10,medium,children_education,46.1,24.9,17.0,5.0,7.0,63.8,Medium,6.7
39,67000,38500,7,medium,children_education,45.3,25.0,17.7,5.0,7.0,66.4,High,8.4
53,67000,40500,3,low,retirement,11.3,20.3,46.9,-1.8,23.3,13.6,Low,4.6
54,64000,16000,3,high,travel,41.5,22.4,19.7,6.3,10.1,81.1,High,10.2
25,31000,9500,35,high,house,59.0,21.8,4.4,9.9,4.9,93.6,High,9.4
36,44000,31500,10,medium,retirement,46.1,24.9,17.0,5.0,7.0,68.5,High,7.7
36,45000,18000,15,low,children_education,26.1,20.0,34.0,2.0,17.9,16.2,Low,4.0
31,39000,4000,30,low,house,27.6,19.9,32.7,2.0,17.8,28.1,Low,4.2
50,75000,59500,7,medium,retirement,42.5,25.3,20.6,4.5,7.1,61.5,Medium,8.8
43,49000,14000,15,low,wealth_building,24.2,20.1,35.8,1.8,18.1,19.1,Low,6.3
43,61000,34000,10,medium,house,44.3,25.1,18.8,4.8,7.0,62.8,Medium,9.0
32,37000,8500,20,medium,education,47.2,24.9,16.0,5.0,6.9,49.8,Medium,8.3
30,41000,12000,30,low,wealth_building,27.8,19.9,32.4,2.0,17.9,17.9,Low,4.8
46,60000,38500,10,medium,retirement,43.5,25.2,19.6,4.7,7.0,60.6,Medium,8.9
31,29000,13000,30,low,wealth_building,27.6,19.9,32.7,2.0,17.8,22.1,Low,4.6
26,27000,7500,10,medium,retirement,48.8,24.8,14.5,5.0,6.9,75.7,High,9.6
32,38000,17500,20,high,wealth_building,57.1,21.9,6.1,10.0,4.9,84.0,High,11.0
58,66000,49500,2,medium,travel,30.3,25.6,31.0,0.9,12.2,53.2,Medium,7.6
49,65000,63500,7,medium,retirement,42.8,25.3,20.4,4.5,7.0,61.3,Medium,7.0
23,41000,12000,20,low,retirement,29.8,19.8,30.6,2.0,17.8,23.7,Low,4.0
49,73000,14000,15,low,house,22.5,20.2,37.6,1.5,18.2,17.8,Low,5.9
55,79000,86000,7,medium,passive_income,41.2,25.5,22.0,4.2,7.1,65.5,Medium,7.9
31,46000,27000,20,medium,retirement,47.4,24.9,15.8,5.0,6.9,54.7,Medium,10.0
67,88000,90000,5,medium,retirement,38.1,25.8,25.3,3.5,7.3,47.3,Medium,8.9
45,62000,17000,10,low,children_education,23.6,20.1,36.4,1.7,18.2,25.8,Low,5.9
33,46000,20000,20,low,house,27.0,19.9,33.2,2.0,17.9,15.2,Low,6.0
53,68000,54000,7,high,travel,51.9,22.3,11.3,9.4,5.1,94.5,High,12.2
39,42000,21000,7,high,house,55.3,22.0,7.8,10.0,4.9,91.2,High,12.6
35,39000,18500,15,high,children_education,56.3,21.9,6.8,10.0,5.0,82.6,High,10.3
55,65000,56000,3,high,travel,41.2,22.4,20.0,6.2,10.2,77.5,High,9.2
57,71000,45000,7,medium,retirement,40.7,25.5,22.5,4.1,7.2,48.2,Medium,6.7
67,82000,104000,2,medium,retirement,27.8,25.8,33.6,0.4,12.4,49.3,Medium,7.2
31,27000,4000,20,medium,education,47.4,24.9,15.8,5.0,6.9,53.1,Medium,9.2
66,66000,72500,3,medium,retirement,28.1,25.8,33.3,0.5,12.3,31.5,Low,7.0
32,53000,7500,20,high,retirement,57.1,21.9,6.1,10.0,4.9,79.2,High,11.1
55,52000,36500,7,medium,passive_income,41.2,25.5,22.0,4.2,7.1,57.8,Medium,8.3
28,26000,8500,15,medium,house,48.3,24.8,15.0,5.0,6.9,62.7,Medium,9.4
24,23000,8500,25,low,wealth_building,29.5,19.8,30.9,2.0,17.8,16.6,Low,6.6
34,54000,36500,35,medium,retirement,46.6,24.9,16.5,5.0,7.0,54.0,Medium,8.2
48,35000,29000,10,high,retirement,53.1,22.2,10.0,9.6,5.1,84.4,High,11.0
38,45000,11500,20,medium,house,45.5,25.0,17.5,5.0,7.0,54.1,Medium,8.5
39,41000,20000,10,low,retirement,25.3,20.0,34.7,2.0,18.0,30.8,Low,5.7
30,32000,6000,30,medium,education,47.7,24.9,15.5,5.0,6.9,51.4,Medium,9.9
42,51000,35500,10,medium,house,44.5,25.1,18.5,4.9,7.0,57.9,Medium,9.5
51,66000,23500,3,high,retirement,42.3,22.3,18.9,6.4,10.1,73.8,High,10.6
22,32000,9500,30,high,house,59.8,21.8,3.6,9.9,4.9,91.9,High,11.1
26,41000,4500,20,medium,retirement,48.8,24.8,14.5,5.0,6.9,59.9,Medium,9.7
39,63000,14500,10,medium,house,45.3,25.0,17.7,5.0,7.0,61.8,Medium,10.0
50,73000,22500,2,medium,retirement,32.4,25.3,28.7,1.4,12.2,61.4,Medium,8.3
43,55000,27500,5,medium,house,44.3,25.1,18.8,4.8,7.0,65.1,Medium,8.0
53,52000,11500,5,medium,passive_income,41.8,25.4,21.5,4.3,7.0,57.8,Medium,7.5
29,48000,13500,30,medium,wealth_building,48.0,24.8,15.3,5.0,6.9,57.5,Medium,7.3
45,64000,28000,5,medium,children_education,43.8,25.2,19.3,4.7,7.0,61.5,Medium,8.3
50,58000,11000,10,low,travel,22.3,20.2,37.9,1.4,18.2,20.2,Low,4.8
43,46000,34500,20,high,children_education,54.3,22.1,8.8,9.9,4.9,86.2,High,10.7
33,51000,23000,35,medium,house,46.9,24.9,16.3,5.0,6.9,57.8,Medium,6.8
38,43000,28000,20,medium,retirement,45.5,25.0,17.5,5.0,7.0,47.7,Medium,9.8
25,25000,12000,25,medium,retirement,49.1,24.8,14.3,5.0,6.8,61.3,Medium,8.1
45,64000,37500,20,high,children_education,53.8,22.1,9.3,9.8,5.0,84.4,High,9.3
22,35000,8000,25,high,wealth_building,59.8,21.8,3.6,9.9,4.9,85.9,High,14.5
34,36000,8000,20,medium,house,46.6,24.9,16.5,5.0,7.0,57.2,Medium,9.4
28,39000,9000,25,medium,house,48.3,24.8,15.0,5.0,6.9,66.5,High,8.0
29,39000,21000,20,low,wealth_building,28.1,19.9,32.1,2.0,17.9,21.0,Low,6.8
52,77000,73500,3,medium,retirement,31.9,25.4,29.3,1.3,12.1,50.6,Medium,9.4
51,63000,35500,2,high,retirement,42.3,22.3,18.9,6.4,10.1,89.1,High,9.4
43,59000,13000,7,low,retirement,24.2,20.1,35.8,1.8,18.1,35.3,Medium,6.8
52,62000,29500,2,medium,passive_income,31.9,25.4,29.3,1.3,12.1,64.2,Medium,8.1
31,29000,11500,25,high,wealth_building,57.4,21.9,5.8,9.9,5.0,86.4,High,11.9
35,55000,17000,7,medium,house,46.4,24.9,16.7,5.0,7.0,61.3,Medium,8.2
53,60000,53500,7,medium,retirement,41.8,25.4,21.5,4.3,7.0,53.8,Medium,7.6
62,77000,18500,5,medium,retirement,39.4,25.7,23.9,3.8,7.2,54.3,Medium,8.8
66,92000,27000,5,medium,passive_income,38.4,25.8,25.0,3.6,7.2,47.5,Medium,9.8
45,56000,31500,10,high,children_education,53.8,22.1,9.3,9.8,5.0,88.6,High,12.7
36,43000,14500,10,low,children_education,26.1,20.0,34.0,2.0,17.9,27.5,Low,4.2
36,44000,27000,5,medium,retirement,46.1,24.9,17.0,5.0,7.0,61.7,Medium,9.6
41,53000,33500,20,medium,wealth_building,44.8,25.0,18.3,4.9,7.0,45.8,Medium,9.8
60,82000,49500,7,medium,passive_income,40.0,25.6,23.4,3.9,7.1,52.8,Medium,8.0
48,59000,49000,10,high,retirement,53.1,22.2,10.0,9.6,5.1,91.4,High,11.3
60,77000,52500,5,medium,passive_income,40.0,25.6,23.4,3.9,7.1,45.2,Medium,7.6
24,44000,9500,30,medium,education,49.3,24.8,14.0,5.0,6.9,57.5,Medium,7.9
50,64000,46000,5,medium,travel,42.5,25.3,20.6,4.5,7.1,58.5,Medium,7.1
43,49000,26000,10,medium,retirement,44.3,25.1,18.8,4.8,7.0,57.5,Medium,8.0
49,56000,10000,15,low,retirement,22.5,20.2,37.6,1.5,18.2,14.4,Low,4.7
23,28000,11500,35,high,retirement,59.5,21.8,3.9,9.9,4.9,88.1,High,9.2
42,51000,28000,5,low,retirement,24.5,20.0,35.6,1.9,18.0,27.0,Low,4.1
42,57000,29500,7,low,retirement,24.5,20.0,35.6,1.9,18.0,27.1,Low,6.7
36,42000,16000,15,high,retirement,56.1,21.9,7.0,10.0,5.0,83.3,High,10.4
52,48000,44500,2,medium,wealth_preservation,31.9,25.4,29.3,1.3,12.1,59.9,Medium,6.7
39,35000,13500,10,medium,house,45.3,25.0,17.7,5.0,7.0,59.9,Medium,9.3
49,61000,23500,10,medium,children_education,42.8,25.3,20.4,4.5,7.0,59.4,Medium,6.7
23,44000,6500,30,high,wealth_building,59.5,21.8,3.9,9.9,4.9,86.7,High,14.4
33,39000,9500,30,high,wealth_building,56.9,21.9,6.3,10.0,4.9,77.9,High,13.9
36,51000,17000,15,medium,retirement,46.1,24.9,17.0,5.0,7.0,50.3,Medium,10.0
29,43000,16000,35,high,house,57.9,21.9,5.3,9.9,5.0,93.6,High,12.7
37,33000,15500,15,medium,wealth_building,45.8,25.0,17.2,5.0,7.0,49.8,Medium,8.9
52,74000,14000,7,medium,wealth_preservation,42.0,25.4,21.2,4.3,7.1,60.3,Medium,10.0
33,49000,12000,35,medium,retirement,46.9,24.9,16.3,5.0,6.9,50.8,Medium,9.9
45,54000,35500,10,low,children_education,23.6,20.1,36.4,1.7,18.2,30.0,Low,5.7
37,55000,14500,15,medium,house,45.8,25.0,17.2,5.0,7.0,49.9,Medium,9.1
31,49000,6000,30,medium,house,47.4,24.9,15.8,5.0,6.9,55.3,Medium,9.8
34,42000,6500,20,medium,house,46.6,24.9,16.5,5.0,7.0,53.4,Medium,8.0
41,48000,28500,20,medium,wealth_building,44.8,25.0,18.3,4.9,7.0,48.6,Medium,8.5
42,48000,9500,10,medium,wealth_building,44.5,25.1,18.5,4.9,7.0,61.9,Medium,7.9
28,29000,10000,30,high,wealth_building,58.2,21.8,5.1,9.9,5.0,93.4,High,13.1
45,57000,8500,7,medium,children_education,43.8,25.2,19.3,4.7,7.0,62.1,Medium,8.7
42,63000,33500,10,medium,retirement,44.5,25.1,18.5,4.9,7.0,56.9,Medium,9.4
60,66000,39500,5,low,retirement,19.5,20.5,40.8,0.8,18.4,13.2,Low,4.0
47,50000,8500,10,high,wealth_building,53.3,22.2,9.8,9.7,5.0,87.6,High,12.4
40,52000,20000,10,medium,retirement,45.0,25.0,18.0,5.0,7.0,59.0,Medium,6.8
34,44000,18000,35,high,house,56.6,21.9,6.5,10.0,5.0,84.5,High,13.9
34,38000,19000,30,medium,retirement,46.6,24.9,16.5,5.0,7.0,46.9,Medium,8.7
28,51000,21500,30,medium,house,48.3,24.8,15.0,5.0,6.9,62.4,Medium,9.1
43,52000,30500,15,medium,retirement,44.3,25.1,18.8,4.8,7.0,44.6,Medium,9.9
27,56000,18500,15,medium,retirement,48.5,24.8,14.8,5.0,6.9,57.2,Medium,8.5
41,58000,40500,5,medium,children_education,44.8,25.0,18.3,4.9,7.0,57.0,Medium,7.4
34,51000,29000,25,low,house,26.7,19.9,33.4,2.0,18.0,20.0,Low,5.9
39,55000,27000,10,high,retirement,55.3,22.0,7.8,10.0,4.9,88.8,High,10.9
24,39000,8500,30,high,wealth_building,59.2,21.8,4.1,9.9,5.0,94.0,High,11.7
37,50000,36000,10,medium,retirement,45.8,25.0,17.2,5.0,7.0,59.0,Medium,8.3
29,22000,6500,15,high,house,57.9,21.9,5.3,9.9,5.0,86.4,High,11.3
45,74000,14500,15,high,house,53.8,22.1,9.3,9.8,5.0,78.0,High,14.7
29,58000,22000,25,medium,retirement,48.0,24.8,15.3,5.0,6.9,57.2,Medium,7.9
29,32000,4000,25,low,wealth_building,28.1,19.9,32.1,2.0,17.9,27.7,Low,5.7
35,47000,7500,10,high,retirement,56.3,21.9,6.8,10.0,5.0,98.7,High,10.8
28,35000,13000,15,high,wealth_building,58.2,21.8,5.1,9.9,5.0,84.7,High,12.5
53,63000,46000,7,low,retirement,21.4,20.3,38.7,1.2,18.4,20.7,Low,6.8
28,42000,4500,25,medium,house,48.3,24.8,15.0,5.0,6.9,56.4,Medium,9.8
45,69000,59500,5,high,retirement,53.8,22.1,9.3,9.8,5.0,90.8,High,13.9
33,42000,19500,25,medium,house,46.9,24.9,16.3,5.0,6.9,49.4,Medium,9.7
36,44000,6500,15,high,house,56.1,21.9,7.0,10.0,5.0,77.2,High,11.1
51,71000,50000,7,low,retirement,22.0,20.3,38.1,1.4,18.2,25.7,Low,6.9
41,42000,23500,10,medium,retirement,44.8,25.0,18.3,4.9,7.0,64.1,Medium,8.6
49,50000,35500,5,medium,retirement,42.8,25.3,20.4,4.5,7.0,60.6,Medium,7.1
30,35000,10500,25,medium,house,47.7,24.9,15.5,5.0,6.9,53.7,Medium,9.4
28,31000,4000,25,low,wealth_building,28.4,19.9,31.9,2.0,17.8,25.2,Low,5.7
65,94000,25000,10,high,retirement,49.0,22.7,14.4,8.8,5.1,78.5,High,9.5
29,25000,6500,35,low,education,28.1,19.9,32.1,2.0,17.9,25.5,Low,4.4
36,40000,5000,15,low,retirement,26.1,20.0,34.0,2.0,17.9,19.1,Low,5.5
37,49000,28000,10,medium,retirement,45.8,25.0,17.2,5.0,7.0,65.0,Medium,6.8
30,45000,17000,25,high,retirement,57.7,21.9,5.6,9.9,4.9,88.1,High,10.7
35,50000,30000,7,medium,retirement,46.4,24.9,16.7,5.0,7.0,61.9,Medium,9.9
30,35000,16500,25,low,wealth_building,27.8,19.9,32.4,2.0,17.9,24.1,Low,6.4
55,67000,21000,5,medium,retirement,41.2,25.5,22.0,4.2,7.1,57.0,Medium,8.3
69,85000,58500,2,medium,travel,27.2,25.9,34.1,0.3,12.5,44.2,Medium,9.6
59,81000,54500,5,medium,passive_income,40.2,25.6,23.1,4.0,7.1,42.7,Medium,8.5
29,59000,22000,20,low,retirement,28.1,19.9,32.1,2.0,17.9,19.6,Low,5.1
50,51000,38000,5,low,passive_income,22.3,20.2,37.9,1.4,18.2,26.7,Low,5.8
39,47000,19000,10,medium,retirement,45.3,25.0,17.7,5.0,7.0,60.2,Medium,6.5
39,58000,8500,10,high,retirement,55.3,22.0,7.8,10.0,4.9,88.9,High,11.8
26,42000,11000,25,high,retirement,58.7,21.8,4.6,9.9,5.0,98.1,High,9.1
54,72000,51500,7,medium,passive_income,41.5,25.4,21.7,4.2,7.2,59.4,Medium,9.7
42,49000,13500,7,medium,house,44.5,25.1,18.5,4.9,7.0,58.7,Medium,8.6
37,42000,7500,7,medium,retirement,45.8,25.0,17.2,5.0,7.0,63.8,Medium,7.5
36,57000,34000,20,medium,retirement,46.1,24.9,17.0,5.0,7.0,57.9,Medium,9.6
38,64000,35500,20,high,children_education,55.5,22.0,7.5,10.0,5.0,85.7,High,10.7
55,64000,24500,2,high,retirement,41.2,22.4,20.0,6.2,10.2,93.4,High,13.0
31,47000,12500,25,medium,education,47.4,24.9,15.8,5.0,6.9,57.2,Medium,8.8
62,82000,82000,5,high,retirement,49.7,22.6,13.6,8.9,5.2,74.0,High,9.8
45,62000,19000,10,medium,retirement,43.8,25.2,19.3,4.7,7.0,67.6,High,8.8
48,57000,21500,7,low,wealth_building,22.8,20.2,37.3,1.5,18.2,19.9,Low,5.1
49,50000,10500,10,medium,retirement,42.8,25.3,20.4,4.5,7.0,55.4,Medium,7.6
52,60000,55000,7,low,retirement,21.7,20.3,38.4,1.3,18.3,27.3,Low,6.1
63,67000,49500,5,medium,retirement,39.2,25.7,24.2,3.7,7.2,51.1,Medium,7.6
51,61000,44500,7,high,travel,52.4,22.3,10.8,9.5,5.0,91.0,High,10.9
54,68000,57500,5,medium,wealth_preservation,41.5,25.4,21.7,4.2,7.2,55.7,Medium,7.1
24,31000,13000,25,medium,wealth_building,49.3,24.8,14.0,5.0,6.9,67.5,High,8.4
30,40000,16000,25,high,wealth_building,57.7,21.9,5.6,9.9,4.9,91.2,High,13.3
27,40000,16000,25,high,wealth_building,58.4,21.8,4.8,9.9,5.1,93.2,High,9.7
37,49000,25000,7,medium,wealth_building,45.8,25.0,17.2,5.0,7.0,63.7,Medium,7.5
50,55000,9500,5,high,retirement,52.6,22.3,10.5,9.5,5.1,88.6,High,11.1
35,24000,15000,10,low,retirement,26.4,19.9,33.7,2.0,18.0,32.6,Low,6.9
32,44000,18500,25,medium,wealth_building,47.2,24.9,16.0,5.0,6.9,51.6,Medium,7.2
52,55000,31500,3,low,retirement,11.6,20.3,46.6,-1.7,23.2,20.0,Low,5.0
43,55000,44000,10,medium,retirement,44.3,25.1,18.8,4.8,7.0,61.7,Medium,8.0
31,45000,8500,15,medium,wealth_building,47.4,24.9,15.8,5.0,6.9,56.7,Medium,9.8
37,48000,16000,10,low,children_education,25.9,20.0,34.2,2.0,17.9,24.3,Low,4.3
23,30000,11500,20,medium,wealth_building,49.6,24.7,13.8,4.9,7.0,58.5,Medium,8.3
54,63000,67500,5,high,wealth_preservation,51.7,22.4,11.6,9.3,5.0,94.8,High,10.5
41,55000,20500,5,medium,retirement,44.8,25.0,18.3,4.9,7.0,59.8,Medium,9.4
34,36000,9000,15,medium,house,46.6,24.9,16.5,5.0,7.0,50.3,Medium,7.5
37,55000,37500,10,medium,retirement,45.8,25.0,17.2,5.0,7.0,61.8,Medium,9.8
25,25000,5500,20,low,retirement,29.2,19.8,31.1,2.0,17.9,21.5,Low,5.9
28,41000,14000,15,high,retirement,58.2,21.8,5.1,9.9,5.0,87.4,High,14.2
29,51000,28000,35,medium,wealth_building,48.0,24.8,15.3,5.0,6.9,59.7,Medium,7.2
33,36000,11500,25,medium,wealth_building,46.9,24.9,16.3,5.0,6.9,47.8,Medium,7.1
34,56000,30000,30,medium,house,46.6,24.9,16.5,5.0,7.0,53.5,Medium,6.8
36,43000,12000,20,high,retirement,56.1,21.9,7.0,10.0,5.0,82.7,High,9.3
30,44000,7500,30,medium,education,47.7,24.9,15.5,5.0,6.9,53.7,Medium,7.8
50,73000,24000,2,high,travel,42.5,22.3,18.6,6.5,10.1,87.1,High,14.3
43,45000,27000,10,medium,house,44.3,25.1,18.8,4.8,7.0,57.1,Medium,9.4
36,45000,12000,7,low,house,26.1,20.0,34.0,2.0,17.9,27.3,Low,6.1
35,42000,16500,15,medium,retirement,46.4,24.9,16.7,5.0,7.0,55.5,Medium,9.6
35,37000,5500,10,medium,retirement,46.4,24.9,16.7,5.0,7.0,67.9,High,6.8
29,34000,18500,10,medium,retirement,48.0,24.8,15.3,5.0,6.9,68.3,High,7.6
61,78000,59000,7,low,retirement,19.2,20.5,41.1,0.8,18.4,8.6,Low,4.6
29,36000,10000,30,medium,education,48.0,24.8,15.3,5.0,6.9,61.8,Medium,9.1
43,53000,16000,15,high,retirement,54.3,22.1,8.8,9.9,4.9,75.0,High,11.1
65,73000,43500,10,low,wealth_preservation,18.0,20.6,42.3,0.5,18.6,0.0,Low,6.4
35,55000,18000,15,high,house,56.3,21.9,6.8,10.0,5.0,82.3,High,13.4
52,60000,13000,5,low,retirement,21.7,20.3,38.4,1.3,18.3,28.8,Low,6.2
35,37000,20500,10,medium,retirement,46.4,24.9,16.7,5.0,7.0,65.3,Medium,9.1
39,43000,30500,10,low,retirement,25.3,20.0,34.7,2.0,18.0,17.8,Low,5.3
